rule_id,dataset,application,owner_team,criticality,regulatory_mapping,rule_type,threshold_pct,current_score_pct,status,last_checked,business_impact
DQ-0001,customer_profile,Customer Data Platform,Data Platform,Tier 1,GDPR,Volume Anomaly,90,95.86,Passed,2026-06-06,May delay downstream analytical datasets
DQ-0002,customer_profile,Customer Data Platform,Data Platform,Tier 1,GDPR,Freshness,95,90.04,Failed,2026-06-07,May impact executive dashboard accuracy
DQ-0003,customer_profile,Customer Data Platform,Data Platform,Tier 1,GDPR,Completeness,98,96.02,Failed,2026-06-06,May affect ML feature reliability
DQ-0004,customer_profile,Customer Data Platform,Data Platform,Tier 1,GDPR,Distribution Drift,92,99.8,Passed,2026-06-07,May delay downstream analytical datasets
DQ-0005,customer_profile,Customer Data Platform,Data Platform,Tier 1,GDPR,Schema Drift,100,98.77,Failed,2026-06-04,May impact executive dashboard accuracy
DQ-0006,customer_profile,Customer Data Platform,Data Platform,Tier 1,GDPR,Validity,97,94.69,Failed,2026-06-07,May reduce confidence in operational KPIs
DQ-0007,customer_profile,Customer Data Platform,Data Platform,Tier 1,GDPR,Referential Integrity,98,95.65,Failed,2026-06-05,May affect regulatory reporting completeness
DQ-0008,payments_fact,Payments Gateway,Finance Data,Tier 0,PCI-DSS,Uniqueness,99,99.98,Passed,2026-06-06,May affect regulatory reporting completeness
DQ-0009,payments_fact,Payments Gateway,Finance Data,Tier 0,PCI-DSS,Volume Anomaly,90,88.99,Failed,2026-06-05,May affect ML feature reliability
DQ-0010,payments_fact,Payments Gateway,Finance Data,Tier 0,PCI-DSS,Distribution Drift,92,72.17,Failed,2026-06-04,May affect ML feature reliability
DQ-0011,payments_fact,Payments Gateway,Finance Data,Tier 0,PCI-DSS,Referential Integrity,98,99.59,Passed,2026-06-04,May impact executive dashboard accuracy
DQ-0012,payments_fact,Payments Gateway,Finance Data,Tier 0,PCI-DSS,Schema Drift,100,81.58,Failed,2026-06-06,May affect regulatory reporting completeness
DQ-0013,payments_fact,Payments Gateway,Finance Data,Tier 0,PCI-DSS,Completeness,98,93.25,Failed,2026-06-05,May impact executive dashboard accuracy
DQ-0014,audit_evidence,AuditIQ,Cloud Security,Tier 1,SOX,Referential Integrity,98,96.34,Failed,2026-06-05,May impact executive dashboard accuracy
DQ-0015,audit_evidence,AuditIQ,Cloud Security,Tier 1,SOX,Volume Anomaly,90,92.21,Passed,2026-06-06,May delay downstream analytical datasets
DQ-0016,audit_evidence,AuditIQ,Cloud Security,Tier 1,SOX,Distribution Drift,92,86.72,Failed,2026-06-04,May delay downstream analytical datasets
DQ-0017,audit_evidence,AuditIQ,Cloud Security,Tier 1,SOX,Schema Drift,100,94.86,Failed,2026-06-05,May impact executive dashboard accuracy
DQ-0018,audit_evidence,AuditIQ,Cloud Security,Tier 1,SOX,Completeness,98,92.99,Failed,2026-06-06,May delay downstream analytical datasets
DQ-0019,audit_evidence,AuditIQ,Cloud Security,Tier 1,SOX,Validity,97,93.83,Failed,2026-06-06,May delay downstream analytical datasets
DQ-0020,audit_evidence,AuditIQ,Cloud Security,Tier 1,SOX,Freshness,95,97.94,Passed,2026-06-06,May affect regulatory reporting completeness
DQ-0021,cloud_cost_daily,CostIQ,FinOps,Tier 1,Internal Policy,Volume Anomaly,90,88.23,Failed,2026-06-04,May impact executive dashboard accuracy
DQ-0022,cloud_cost_daily,CostIQ,FinOps,Tier 1,Internal Policy,Distribution Drift,92,99.9,Passed,2026-06-05,May delay downstream analytical datasets
DQ-0023,cloud_cost_daily,CostIQ,FinOps,Tier 1,Internal Policy,Validity,97,95.52,Failed,2026-06-07,May reduce confidence in operational KPIs
DQ-0024,cloud_cost_daily,CostIQ,FinOps,Tier 1,Internal Policy,Uniqueness,99,97.43,Failed,2026-06-05,May reduce confidence in operational KPIs
DQ-0025,cloud_cost_daily,CostIQ,FinOps,Tier 1,Internal Policy,Completeness,98,93.56,Failed,2026-06-07,May reduce confidence in operational KPIs
DQ-0026,cloud_cost_daily,CostIQ,FinOps,Tier 1,Internal Policy,Freshness,95,91.53,Failed,2026-06-04,May impact executive dashboard accuracy
DQ-0027,cloud_cost_daily,CostIQ,FinOps,Tier 1,Internal Policy,Schema Drift,100,97.64,Failed,2026-06-06,May affect ML feature reliability
DQ-0028,security_events,Threat Intelligence Lake,Cyber Risk,Tier 0,ISO 27001,Distribution Drift,92,72.27,Failed,2026-06-05,May affect regulatory reporting completeness
