incident_id,dataset,severity,status,owner_team,trigger,business_impact,root_cause_hint,recommended_action
INC-0001,customer_profile,Medium,Investigating,Data Platform,Freshness rule failed,May impact executive dashboard accuracy,Source schema changed,Notify source owner and enforce SLA escalation.
INC-0002,customer_profile,High,Open,Data Platform,Completeness rule failed,May affect ML feature reliability,Null spike in mandatory field,Validate source contract and add schema drift gate.
INC-0003,customer_profile,Medium,Resolved,Data Platform,Schema Drift rule failed,May impact executive dashboard accuracy,Unexpected volume drop,Reprocess affected dataset and validate reconciliation.
INC-0004,customer_profile,Medium,Open,Data Platform,Validity rule failed,May reduce confidence in operational KPIs,Null spike in mandatory field,Validate source contract and add schema drift gate.
INC-0005,customer_profile,Medium,Open,Data Platform,Referential Integrity rule failed,May affect regulatory reporting completeness,Duplicate primary keys,Backfill missing partitions and rerun downstream pipelines.
INC-0006,payments_fact,Critical,Resolved,Finance Data,Volume Anomaly rule failed,May affect ML feature reliability,Source schema changed,Add quarantine logic for invalid records.
INC-0007,payments_fact,Critical,Resolved,Finance Data,Distribution Drift rule failed,May affect ML feature reliability,Source schema changed,Notify source owner and enforce SLA escalation.
INC-0008,payments_fact,Critical,Resolved,Finance Data,Schema Drift rule failed,May affect regulatory reporting completeness,Source schema changed,Backfill missing partitions and rerun downstream pipelines.
INC-0009,payments_fact,Critical,Investigating,Finance Data,Completeness rule failed,May impact executive dashboard accuracy,Duplicate primary keys,Reprocess affected dataset and validate reconciliation.
INC-0010,audit_evidence,Medium,Resolved,Cloud Security,Referential Integrity rule failed,May impact executive dashboard accuracy,Null spike in mandatory field,Validate source contract and add schema drift gate.
INC-0011,audit_evidence,High,Investigating,Cloud Security,Distribution Drift rule failed,May delay downstream analytical datasets,Unexpected volume drop,Notify source owner and enforce SLA escalation.
INC-0012,audit_evidence,High,Investigating,Cloud Security,Schema Drift rule failed,May impact executive dashboard accuracy,Source schema changed,Backfill missing partitions and rerun downstream pipelines.
INC-0013,audit_evidence,High,Open,Cloud Security,Completeness rule failed,May delay downstream analytical datasets,Null spike in mandatory field,Notify source owner and enforce SLA escalation.
INC-0014,audit_evidence,High,Resolved,Cloud Security,Validity rule failed,May delay downstream analytical datasets,Unexpected volume drop,Add quarantine logic for invalid records.
INC-0015,cloud_cost_daily,High,Investigating,FinOps,Volume Anomaly rule failed,May impact executive dashboard accuracy,Unexpected volume drop,Backfill missing partitions and rerun downstream pipelines.
INC-0016,cloud_cost_daily,High,Open,FinOps,Validity rule failed,May reduce confidence in operational KPIs,Source schema changed,Validate source contract and add schema drift gate.
INC-0017,payments_fact,High,Open,Finance Data,pl_payments_reconciliation SLA breached,payments_fact freshness SLA was missed; downstream reporting may be stale.,Null Spike,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0018,audit_evidence,Medium,Investigating,Cloud Security,pl_audit_evidence_load SLA breached,audit_evidence freshness SLA was missed; downstream reporting may be stale.,API Timeout,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0019,cloud_cost_daily,Medium,Investigating,FinOps,pl_cost_export_daily SLA breached,cloud_cost_daily freshness SLA was missed; downstream reporting may be stale.,Partition Missing,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0020,loan_applications,Medium,Resolved,Lending Analytics,pl_loan_application_sync SLA breached,loan_applications freshness SLA was missed; downstream reporting may be stale.,None,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0021,data_quality_metrics,High,Resolved,Data Governance,pl_quality_score_refresh SLA breached,data_quality_metrics freshness SLA was missed; downstream reporting may be stale.,Partition Missing,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0022,customer_360_mart,Medium,Resolved,Customer Analytics,pl_customer_360_build SLA breached,customer_360_mart freshness SLA was missed; downstream reporting may be stale.,Partition Missing,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0023,audit_evidence,Medium,Open,Cloud Security,pl_audit_evidence_load SLA breached,audit_evidence freshness SLA was missed; downstream reporting may be stale.,API Timeout,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0024,security_events,High,Investigating,Cyber Risk,pl_security_stream SLA breached,security_events freshness SLA was missed; downstream reporting may be stale.,Source Delay,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0025,data_quality_metrics,Medium,Investigating,Data Governance,pl_quality_score_refresh SLA breached,data_quality_metrics freshness SLA was missed; downstream reporting may be stale.,Duplicate Keys,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0026,risk_feature_store,Medium,Open,Risk Analytics,pl_risk_feature_materialise SLA breached,risk_feature_store freshness SLA was missed; downstream reporting may be stale.,Partition Missing,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0027,audit_evidence,Medium,Investigating,Cloud Security,pl_audit_evidence_load SLA breached,audit_evidence freshness SLA was missed; downstream reporting may be stale.,Partition Missing,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0028,cloud_cost_daily,Medium,Open,FinOps,pl_cost_export_daily SLA breached,cloud_cost_daily freshness SLA was missed; downstream reporting may be stale.,Source Delay,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0029,security_events,High,Investigating,Cyber Risk,pl_security_stream SLA breached,security_events freshness SLA was missed; downstream reporting may be stale.,None,"Review retries, source availability, worker utilisation and rerun impacted partition."
INC-0030,data_quality_metrics,Medium,Open,Data Governance,pl_quality_score_refresh SLA breached,data_quality_metrics freshness SLA was missed; downstream reporting may be stale.,Late Arriving Data,"Review retries, source availability, worker utilisation and rerun impacted partition."
