run_id,pipeline,dataset,pipeline_type,run_date,duration_minutes,sla_minutes,sla_status,status,records_processed,retry_count,error_category,backlog_events,cpu_utilisation_pct
RUN-00001,pl_customer_ingestion,customer_profile,Batch,2026-06-07,47,75,Met,Succeeded,32488174,0,None,0,42.3
RUN-00002,pl_payments_reconciliation,payments_fact,Batch,2026-06-07,65,60,Breached,Delayed,59767563,3,Null Spike,0,32.3
RUN-00003,pl_audit_evidence_load,audit_evidence,Batch,2026-06-07,92,45,Breached,Delayed,12821272,0,API Timeout,0,80.9
RUN-00004,pl_cost_export_daily,cloud_cost_daily,Batch,2026-06-07,37,30,Breached,Delayed,43594353,1,Partition Missing,0,43.6
RUN-00005,pl_security_stream,security_events,Streaming,2026-06-07,9,10,Met,Delayed,4727438,1,Partition Missing,340189,41.3
RUN-00006,pl_loan_application_sync,loan_applications,Batch,2026-06-07,87,50,Breached,Running,45721907,0,None,0,83.7
RUN-00007,pl_iam_inventory_snapshot,iam_inventory,Batch,2026-06-07,35,40,Met,Succeeded,16805351,0,None,0,28.4
RUN-00008,pl_regulatory_report_mart,regulatory_reporting,Batch,2026-06-07,73,80,Met,Succeeded,9015295,1,None,0,64.4
RUN-00009,pl_quality_score_refresh,data_quality_metrics,Batch,2026-06-07,14,20,Breached,Failed,51224619,0,Partition Missing,0,57.8
RUN-00010,pl_fraud_feature_stream,fraud_signals,Streaming,2026-06-07,10,15,Met,Succeeded,11507192,1,None,34005,90.3
RUN-00011,pl_customer_360_build,customer_360_mart,Batch,2026-06-07,76,70,Breached,Delayed,21047376,1,Partition Missing,0,64.8
RUN-00012,pl_risk_feature_materialise,risk_feature_store,Batch,2026-06-07,44,55,Met,Running,45450725,2,None,0,43.1
RUN-00013,pl_customer_ingestion,customer_profile,Batch,2026-06-06,58,75,Met,Succeeded,17794044,0,None,0,86.8
RUN-00014,pl_payments_reconciliation,payments_fact,Batch,2026-06-06,59,60,Met,Delayed,45802625,1,Source Delay,0,47.8
RUN-00015,pl_audit_evidence_load,audit_evidence,Batch,2026-06-06,58,45,Breached,Delayed,32170968,0,API Timeout,0,36.3
RUN-00016,pl_cost_export_daily,cloud_cost_daily,Batch,2026-06-06,20,30,Met,Succeeded,19316278,0,None,0,27.0
RUN-00017,pl_security_stream,security_events,Streaming,2026-06-06,12,10,Breached,Failed,56053063,0,Source Delay,279591,44.1
